Year,Round,Seed,Team,Score,Seed_1,Team_1,Score_1,Favorite,Seed_diff,Spread,Winner,Upset
2018,Play-In,16,Long Island,61,16,Radford,71,EQUAL,0,-10,TEAM_2,True
2018,Play-In,11,St. Bonaventure,65,11,UCLA,58,EQUAL,0,7,TEAM_1,True
2018,Play-In,11,Arizona State,56,11,Syracuse,60,EQUAL,0,-4,TEAM_2,True
2017,National Championship,1,Gonzaga,65,1,North Carolina,71,EQUAL,0,-6,TEAM_2,True
2017,Final Four,7,South Carolina,73,1,Gonzaga,77,TEAM_1,-6,-4,TEAM_2,True
2017,Final Four,3,Oregon,76,1,North Carolina,77,TEAM_1,-2,-1,TEAM_2,True
2017,Elite Eight,1,Gonzaga,83,11,Xavier,59,TEAM_2,10,24,TEAM_1,True
2017,Elite Eight,1,Kansas,60,3,Oregon,74,TEAM_2,2,-14,TEAM_2,False
2017,Elite Eight,4,Florida,70,7,South Carolina,77,TEAM_2,3,-7,TEAM_2,False
2017,Elite Eight,1,North Carolina,75,2,Kentucky,73,TEAM_2,1,2,TEAM_1,True
2017,Sweet 16,8,Wisconsin,83,4,Florida,84,TEAM_1,-4,-1,TEAM_2,True
2017,Sweet 16,3,Baylor,50,7,South Carolina,70,TEAM_2,4,-20,TEAM_2,False
2017,Sweet 16,1,Kansas,98,4,Purdue,66,TEAM_2,3,32,TEAM_1,True
2017,Sweet 16,3,Oregon,69,7,Michigan,68,TEAM_2,4,1,TEAM_1,True
2017,Sweet 16,1,Gonzaga,61,4,West Virginia,58,TEAM_2,3,3,TEAM_1,True
2017,Sweet 16,11,Xavier,73,2,Arizona,71,TEAM_1,-9,2,TEAM_1,False
2017,Sweet 16,1,North Carolina,92,4,Butler,80,TEAM_2,3,12,TEAM_1,True
2017,Sweet 16,3,UCLA,75,2,Kentucky,86,TEAM_1,-1,-11,TEAM_2,True
2017,Second Round,1,Villanova,62,8,Wisconsin,65,TEAM_2,7,-3,TEAM_2,False
2017,Second Round,5,Notre Dame,71,4,West Virginia,83,TEAM_1,-1,-12,TEAM_2,True
2017,Second Round,5,Virginia,39,4,Florida,65,TEAM_1,-1,-26,TEAM_2,True
2017,Second Round,11,Xavier,91,3,Florida State,66,TEAM_1,-8,25,TEAM_1,False
2017,Second Round,1,Gonzaga,79,8,Northwestern,73,TEAM_2,7,6,TEAM_1,True
2017,Second Round,7,St. Mary's (Cal.),60,2,Arizona,69,TEAM_1,-5,-9,TEAM_2,True
2017,Second Round,5,Iowa State,76,4,Purdue,80,TEAM_1,-1,-4,TEAM_2,True
2017,Second Round,12,Middle Tennessee State,65,4,Butler,74,TEAM_1,-8,-9,TEAM_2,True
2017,Second Round,7,Michigan,73,2,Louisville,69,TEAM_1,-5,4,TEAM_1,False
2017,Second Round,10,Wichita State,62,2,Kentucky,65,TEAM_1,-8,-3,TEAM_2,True
2017,Second Round,1,Kansas,90,9,Michigan State,70,TEAM_2,8,20,TEAM_1,True
2017,Second Round,1,North Carolina,72,8,Arkansas,65,TEAM_2,7,7,TEAM_1,True
2017,Second Round,11,Rhode Island,72,3,Oregon,75,TEAM_1,-8,-3,TEAM_2,True
2017,Second Round,11,Southern California,78,3,Baylor,82,TEAM_1,-8,-4,TEAM_2,True
2017,Second Round,7,South Carolina,88,2,Duke,81,TEAM_1,-5,7,TEAM_1,False
